#           y           U_x           U_y           U_z
      -0.0254             0             0             0
   -0.0251447     -0.665683   -0.00676507    1.7251e-21
   -0.0248894      -1.21231    -0.0131453   3.90336e-21
   -0.0246342      -1.75893    -0.0195255   6.08162e-21
   -0.0243789      -2.21908    -0.0256712   8.87594e-21
   -0.0241236       -2.1844    -0.0308246   1.05418e-20
   -0.0238683      -2.14883    -0.0361012   9.14465e-21
   -0.0236131      -2.11326    -0.0413777   7.74747e-21
   -0.0233578      -2.07736     -0.046714    5.1007e-21
   -0.0231025      -2.03766    -0.0526436   7.10643e-22
   -0.0228472      -1.99766     -0.058565   9.93189e-22
    -0.022592      -1.95765    -0.0644864   1.27573e-21
   -0.0223367      -1.91761    -0.0704137   1.91863e-21
   -0.0220814       -1.8757    -0.0764955   3.45283e-21
   -0.0218261      -1.83321    -0.0825552   2.76827e-21
   -0.0215709      -1.79072    -0.0886148   2.08371e-21
   -0.0213156      -1.74824    -0.0946744   1.39916e-21
   -0.0210603      -1.70323      -0.10084    2.0966e-22
    -0.020805      -1.65739     -0.106969  -1.89252e-21
   -0.0205497      -1.61154     -0.113099   -3.9947e-21
   -0.0202945      -1.56569     -0.119228  -6.09688e-21
   -0.0200392      -1.51714     -0.125423   -9.5205e-21
   -0.0197839      -1.46742     -0.131586  -4.51086e-21
   -0.0195286       -1.4177     -0.137749   4.98779e-22
   -0.0192734      -1.36799     -0.143912   5.50842e-21
   -0.0190181      -1.31557     -0.150141   2.11463e-20
   -0.0187628      -1.26165     -0.156345   1.76296e-20
   -0.0185075      -1.20773     -0.162549   1.41129e-20
   -0.0182523      -1.15381     -0.168753   1.05962e-20
    -0.017997      -1.09728     -0.175022  -8.20081e-21
   -0.0177417      -1.03891     -0.181275  -1.40641e-20
   -0.0174864     -0.980535     -0.187528  -1.99275e-20
   -0.0172312     -0.922161     -0.193781  -2.57908e-20
   -0.0169759     -0.861327     -0.200095  -2.31545e-20
   -0.0167206     -0.798283     -0.206401  -1.05053e-20
   -0.0164653     -0.735239     -0.212707   2.14386e-21
   -0.0162101     -0.672195     -0.219013    1.4793e-20
   -0.0159548      -0.60687     -0.225374   2.77434e-20
   -0.0156995     -0.538948     -0.231733   2.36147e-20
   -0.0154442     -0.471026     -0.238092   1.94859e-20
   -0.0151889     -0.403105     -0.244451   1.53572e-20
   -0.0149337     -0.333102     -0.250857     1.689e-20
   -0.0146784     -0.260085     -0.257264   7.79107e-21
   -0.0144231     -0.187069     -0.263672  -1.30789e-21
   -0.0141678     -0.114052      -0.27008  -1.04069e-20
   -0.0139126    -0.0391763     -0.276524  -3.39369e-20
   -0.0136573     0.0391732      -0.28297  -3.23684e-20
    -0.013402      0.117523     -0.289416  -3.07999e-20
   -0.0131467      0.195872     -0.295862  -2.92313e-20
   -0.0128915      0.275836     -0.302333  -2.72588e-20
   -0.0126362      0.359784     -0.308798  -1.58596e-20
   -0.0123809      0.443732     -0.315263  -4.46043e-21
   -0.0121256      0.527681     -0.321727   6.93878e-21
   -0.0118704      0.612971     -0.328205   3.24439e-20
   -0.0116151      0.702819     -0.334658   3.13257e-20
   -0.0113598      0.792667     -0.341111   3.02074e-20
   -0.0111045      0.882516     -0.347565   2.90891e-20
   -0.0108492      0.973501     -0.354017   2.74371e-20
    -0.010594       1.07009     -0.360457   1.74903e-20
   -0.0103387        1.1668     -0.366895   6.34638e-21
   -0.0100834       1.26351     -0.373333  -4.79758e-21
  -0.00982814       1.36114     -0.379749  -3.25763e-20
  -0.00957286       1.46194     -0.385938  -3.92588e-20
  -0.00931759       1.56304     -0.392114  -3.81477e-20
  -0.00906231       1.66414     -0.398289  -3.70366e-20
  -0.00880704       1.76561     -0.404443  -2.66333e-20
  -0.00855176       1.87472     -0.410583  -1.43143e-20
  -0.00829648       1.98459     -0.416672  -9.93335e-21
  -0.00804121       2.09447      -0.42276  -5.55237e-21
  -0.00778593       2.20449     -0.428796  -1.11101e-21
  -0.00753065       2.32094     -0.434663   1.23024e-20
  -0.00727538       2.43786     -0.440471    1.8851e-20
   -0.0070201       2.55477      -0.44628   2.53995e-20
  -0.00676482       2.67321     -0.451995    1.9305e-20
  -0.00650955        2.7971     -0.457436   6.74897e-21
  -0.00625427       2.92099     -0.462877  -5.80704e-21
  -0.00599899       3.04488     -0.468318   -1.8363e-20
  -0.00574372       3.17342     -0.473428  -2.53106e-20
  -0.00548844       3.30416     -0.478411  -1.84939e-20
  -0.00523317       3.43489     -0.483393  -1.16772e-20
  -0.00497789       3.56776     -0.488175   1.21867e-20
  -0.00472261       3.70514     -0.492605    2.5752e-20
  -0.00446734       3.84253     -0.497035   3.93173e-20
  -0.00421206       3.98069     -0.501355   4.80687e-20
  -0.00395678       4.12445     -0.505147     3.402e-20
  -0.00370151       4.26823     -0.508935   1.93216e-20
  -0.00344623       4.41243     -0.512617  -7.10755e-21
  -0.00319095       4.56221     -0.515704  -1.67884e-20
  -0.00293568       4.71205     -0.518766  -2.41058e-20
   -0.0026804       4.86263      -0.52168  -1.98519e-20
  -0.00242513       5.01811     -0.523935  -1.64577e-20
  -0.00216985       5.17359     -0.526191  -1.30635e-20
  -0.00191457       5.33066     -0.528122  -9.79827e-21
   -0.0016593       5.49121     -0.529502  -2.55879e-21
  -0.00140402       5.65175     -0.530881   4.68069e-21
  -0.00114874       5.81488      -0.53164   7.35212e-21
 -0.000893467       5.97975     -0.532081   9.55028e-21
 -0.000638191       6.14452     -0.532428   1.22581e-20
 -0.000382915       6.31736       -0.5319   4.40489e-21
 -0.000127638        6.4907     -0.531319  -3.32515e-21
  0.000127638       6.66056     -0.530219  -6.90315e-21
  0.000382915       6.82784     -0.528579  -8.92404e-21
  0.000638191       6.99513     -0.526939  -1.09449e-20
  0.000893467       7.16496     -0.524448  -1.88987e-20
   0.00114874       7.33551     -0.521574  -2.34059e-20
   0.00140402       7.50606       -0.5187  -2.79131e-20
    0.0016593       7.67386     -0.514796  -1.87415e-20
   0.00191457       7.84111      -0.51068  -4.86843e-21
   0.00216985       8.00818     -0.506515   1.14317e-20
   0.00242513       8.16748     -0.501355   2.82542e-20
    0.0026804       8.32563     -0.496062   3.27244e-20
   0.00293568        8.4831     -0.490696   3.04774e-20
   0.00319095       8.62479     -0.484558   1.77388e-20
   0.00344623       8.76441     -0.478338   8.41943e-21
   0.00370151       8.90288     -0.472071             0
   0.00395678       9.01546     -0.465447   1.50645e-20
   0.00421206       9.12426     -0.458802   3.42873e-20
   0.00446734       9.23263     -0.452154   5.39662e-20
   0.00472261       9.30791     -0.445671   7.75427e-20
   0.00497789       9.37709     -0.439282   7.74984e-20
   0.00523317       9.44628     -0.432892   7.74542e-20
   0.00548844       9.48889     -0.426989   4.31728e-20
   0.00574372       9.52283     -0.421305   2.66724e-20
   0.00599899       9.55677      -0.41562    1.0172e-20
   0.00625427       9.57888     -0.410266  -2.38741e-20
   0.00650955       9.59233     -0.405182  -4.23982e-20
   0.00676482       9.60578     -0.400098  -6.09223e-20
    0.0070201       9.61663     -0.395091   -4.7531e-20
   0.00727538       9.62148     -0.390301  -2.03809e-20
   0.00753065       9.62634     -0.385511   6.76917e-21
   0.00778593       9.63109      -0.38072   3.60668e-20
   0.00804121       9.63288     -0.376088   8.44247e-20
   0.00829648       9.63436     -0.371495   1.01563e-19
   0.00855176       9.63584     -0.366901     1.187e-19
   0.00880704       9.63664     -0.362277   7.06488e-20
   0.00906231       9.63674      -0.35761   1.40497e-20
   0.00931759       9.63684     -0.352943  -4.25494e-20
   0.00957286       9.63684     -0.348292  -1.12155e-19
   0.00982814       9.63637     -0.343785  -1.00191e-19
    0.0100834       9.63588     -0.339269  -7.77792e-20
    0.0103387       9.63538     -0.334753   -5.5367e-20
     0.010594       9.63476     -0.330255   2.41953e-20
    0.0108492       9.63404     -0.325786   2.62898e-20
    0.0111045       9.63332     -0.321318   2.83844e-20
    0.0113598        9.6326     -0.316849   3.04789e-20
    0.0116151       9.63185     -0.312413  -1.20986e-20
    0.0118704       9.63108     -0.308017  -2.92699e-20
    0.0121256       9.63032      -0.30362  -4.64412e-20
    0.0123809       9.62955     -0.299224  -6.36125e-20
    0.0126362       9.62879     -0.294812  -9.39361e-20
    0.0128915       9.62802     -0.290411  -6.03497e-20
    0.0131467       9.62725      -0.28601  -2.67633e-20
     0.013402       9.62648     -0.281609   6.82305e-21
    0.0136573        9.6257      -0.27719   5.75561e-20
    0.0139126       9.62488     -0.272819   8.18718e-20
    0.0141678       9.62402     -0.268437    6.2152e-20
    0.0144231       9.62316     -0.264054   4.24321e-20
    0.0146784       9.62229     -0.259672   2.27122e-20
