#           y           U_x           U_y           U_z
    0.0149337       9.62139     -0.255254  -2.57194e-20
    0.0151889       9.62021     -0.250907  -6.18217e-20
    0.0154442       9.61892      -0.24653  -6.59877e-20
    0.0156995       9.61763     -0.242152  -7.01538e-20
    0.0159548       9.61634     -0.237774  -7.43198e-20
    0.0162101       9.61506     -0.233397  -7.84858e-20
    0.0164653       9.61319      -0.22907  -1.26901e-20
    0.0167206       9.61083     -0.224879  -2.53504e-21
    0.0169759       9.60846     -0.220688   7.62005e-21
    0.0172312       9.60609     -0.216497   1.77751e-20
    0.0174864       9.60373     -0.212306   2.79302e-20
    0.0177417       9.60136     -0.208115   3.80853e-20
     0.017997       9.59719     -0.203603   -3.5647e-21
    0.0182523       9.59169     -0.198974  -1.48432e-20
    0.0185075       9.58618     -0.194345  -2.61217e-20
    0.0187628       9.58067     -0.189716  -3.74002e-20
    0.0190181       9.57481     -0.185114  -3.86499e-20
    0.0192734       9.56383     -0.180335  -2.16125e-20
    0.0195286       9.55172     -0.175552  -7.33618e-21
    0.0197839        9.5396     -0.170768   6.94018e-21
    0.0200392       9.52738     -0.165984   2.11469e-20
    0.0202945       9.50412     -0.160793   2.09696e-20
    0.0205497       9.47748     -0.155498   6.05401e-21
     0.020805       9.45083     -0.150203  -8.86155e-21
    0.0210603       9.41961     -0.144741    -4.962e-20
    0.0213156       9.36459     -0.138511  -5.16058e-20
    0.0215709       9.30956     -0.132281  -5.35916e-20
    0.0218261       9.25193     -0.125995  -3.81354e-20
    0.0220814       9.15508     -0.118518  -9.82843e-22
    0.0223367       9.05492     -0.110994   3.00997e-20
     0.022592       8.94459     -0.103206    5.9216e-20
    0.0228472       8.78811    -0.0944659   4.94921e-20
    0.0231025       8.63164    -0.0857262   3.97682e-20
    0.0233578         8.434    -0.0764403   2.97702e-21
    0.0236131       8.21832    -0.0669745  -1.88699e-20
    0.0238683       7.97189     -0.057341  -1.77565e-20
    0.0241236       7.69365    -0.0475678  -1.33206e-20
    0.0243789       7.37198    -0.0377754  -8.21659e-21
    0.0246342       7.01371    -0.0279994  -5.45094e-22
    0.0248894       6.48654    -0.0190526             0
    0.0251447       4.83237    -0.0101466             0
       0.0254  -1.13283e-13    1.6232e-16             0
