#           y           U_x           U_y           U_z
      -0.0254             0             0             0
   -0.0251447     -0.234136    -0.0139124   8.99756e-20
   -0.0248894     -0.378644    -0.0254911   1.05105e-19
   -0.0246342     -0.523153    -0.0370697   1.20234e-19
   -0.0243789     -0.561323    -0.0456375   5.60163e-20
   -0.0241236     -0.517902    -0.0525177   4.76627e-22
   -0.0238683     -0.475567    -0.0597099  -2.29667e-20
   -0.0236131     -0.433232    -0.0669021    -4.641e-20
   -0.0233578     -0.393361    -0.0748361  -2.83293e-20
   -0.0231025     -0.355053    -0.0833778  -1.82504e-20
   -0.0228472     -0.316843     -0.091979  -9.93644e-21
    -0.022592     -0.278634      -0.10058  -1.62249e-21
   -0.0223367     -0.240723     -0.109485  -1.42584e-21
   -0.0220814     -0.202241     -0.118478  -9.98528e-21
   -0.0218261     -0.163715     -0.127473   -2.0683e-20
   -0.0215709     -0.125188     -0.136467  -3.13807e-20
   -0.0213156    -0.0857523      -0.14551  -6.88641e-20
   -0.0210603    -0.0451868     -0.154455  -5.96302e-20
    -0.020805   -0.00462139       -0.1634  -5.03963e-20
   -0.0205497     0.0360154     -0.172341  -3.68983e-20
   -0.0202945     0.0782302     -0.181198   2.97865e-20
   -0.0200392      0.121536     -0.189955   4.05468e-20
   -0.0197839      0.164842     -0.198711   5.13072e-20
   -0.0195286      0.208436     -0.207452   5.05366e-20
   -0.0192734      0.253845     -0.216094   2.51284e-20
   -0.0190181      0.300251     -0.224645   1.58319e-20
   -0.0187628      0.346657     -0.233196   6.53532e-21
   -0.0185075        0.3936     -0.241716  -4.35343e-21
   -0.0182523      0.442465     -0.250129  -6.05987e-21
    -0.017997      0.492177     -0.258456  -2.02991e-20
   -0.0177417      0.541889     -0.266783  -3.45384e-20
   -0.0174864      0.592405     -0.275061  -4.93725e-20
   -0.0172312      0.644875     -0.283217  -7.75732e-20
   -0.0169759      0.698019     -0.291294  -5.05131e-20
   -0.0167206      0.751162     -0.299371  -2.34529e-20
   -0.0164653      0.805389     -0.307381   7.94013e-20
   -0.0162101      0.861552     -0.315244   1.34082e-19
   -0.0159548      0.918205     -0.323042   1.35495e-19
   -0.0156995      0.974857      -0.33084   1.36909e-19
   -0.0154442       1.03288     -0.338551   2.18683e-20
   -0.0151889       1.09279     -0.346083  -2.45424e-20
   -0.0149337       1.15299     -0.353572  -5.19292e-20
   -0.0146784        1.2132     -0.361061   -7.9316e-20
   -0.0144231       1.27508     -0.368439  -4.27244e-20
   -0.0141678       1.33875     -0.375606  -2.74589e-20
   -0.0139126       1.40254     -0.382754  -1.43067e-20
   -0.0136573       1.46633     -0.389902  -1.15443e-21
    -0.013402       1.53215       -0.3969   2.02419e-21
   -0.0131467       1.59954     -0.403674   5.16558e-20
   -0.0128915       1.66693     -0.410447   1.01287e-19
   -0.0126362        1.7344     -0.417214    1.5095e-19
   -0.0123809       1.80421     -0.423778    2.2613e-19
   -0.0121256        1.8752     -0.430142   1.76815e-19
   -0.0118704       1.94619     -0.436506   1.27499e-19
   -0.0116151       2.01753     -0.442835   5.87774e-20
   -0.0113598       2.09122     -0.448946   -9.7808e-20
   -0.0111045       2.16609     -0.454884  -1.47522e-19
   -0.0108492       2.24096     -0.460822  -1.97235e-19
    -0.010594       2.31654     -0.466699  -1.98762e-19
   -0.0103387       2.39345     -0.472267  -1.19544e-19
   -0.0100834       2.47085     -0.477638  -4.75272e-20
  -0.00982814       2.54825     -0.483009   2.44894e-20
  -0.00957286       2.62635     -0.488285   8.02692e-20
  -0.00931759       2.70781     -0.493372   1.33053e-19
  -0.00906231       2.78959     -0.498272   8.47976e-20
  -0.00880704       2.87137     -0.503173   3.65421e-20
  -0.00855176       2.95392     -0.507913  -1.00373e-19
  -0.00829648       3.03907     -0.512389  -2.20518e-19
  -0.00804121       3.12426     -0.516731  -1.95159e-19
  -0.00778593       3.20944     -0.521073    -1.698e-19
  -0.00753065        3.2963     -0.525198   7.53355e-20
  -0.00727538        3.3847     -0.528973   1.33234e-19
   -0.0070201       3.47309      -0.53273   1.83552e-19
  -0.00676482       3.56168     -0.536431   2.01297e-19
  -0.00650955       3.65268     -0.539795   1.97614e-19
  -0.00625427        3.7441     -0.542943   1.18161e-19
  -0.00599899       3.83551     -0.546091   3.87068e-20
  -0.00574372       3.92811     -0.549039  -1.26498e-19
  -0.00548844       4.02239      -0.55161  -1.34337e-19
  -0.00523317       4.11664     -0.554124  -1.06283e-19
  -0.00497789       4.21111     -0.556568  -3.66968e-20
  -0.00472261       4.30782     -0.558629   9.25545e-20
  -0.00446734       4.40471     -0.560486   1.06762e-19
  -0.00421206       4.50159     -0.562342    1.2097e-19
  -0.00395678       4.60011     -0.563901   -5.1753e-20
  -0.00370151       4.69938     -0.565077  -8.15295e-20
  -0.00344623       4.79866     -0.566253  -1.11306e-19
  -0.00319095       4.89872     -0.567243  -2.94862e-20
  -0.00293568       5.00021       -0.5678  -1.95042e-20
   -0.0026804       5.10158     -0.568274  -5.26508e-20
  -0.00242513       5.20322     -0.568641  -1.28498e-19
  -0.00216985       5.30653     -0.568562  -1.94733e-19
  -0.00191457       5.40965     -0.568313  -1.60491e-19
   -0.0016593       5.51284     -0.568031  -1.08113e-19
  -0.00140402       5.61747     -0.567276   2.95506e-20
  -0.00114874       5.72191     -0.566291   7.90655e-20
 -0.000893467       5.82635     -0.565307    1.2858e-19
 -0.000638191       5.93287     -0.563853   7.49333e-20
 -0.000382915         6.042     -0.562042   4.01279e-20
 -0.000127638       6.15112     -0.560231   5.32249e-21
  0.000127638       6.25744     -0.558121             0
  0.000382915       6.35971     -0.555629             0
  0.000638191       6.46198     -0.553136             0
  0.000893467       6.56545     -0.550478             0
   0.00114874       6.67036     -0.547268   1.85958e-20
   0.00140402       6.77448     -0.543838   5.59839e-20
    0.0016593        6.8786     -0.540407   9.33721e-20
   0.00191457       6.98267     -0.536658   1.98302e-19
   0.00216985       7.08417     -0.532427   1.91168e-19
   0.00242513       7.18536     -0.528143   1.51145e-19
    0.0026804       7.28651     -0.523836   9.86903e-20
   0.00293568       7.38548     -0.519037  -1.46386e-19
   0.00319095       7.48109     -0.513974  -1.83271e-19
   0.00344623        7.5767     -0.508912  -2.20156e-19
   0.00370151       7.67135      -0.50369  -1.53487e-19
   0.00395678       7.76031      -0.49812   9.77848e-20
   0.00421206       7.84643     -0.492434    2.2754e-19
   0.00446734       7.93256     -0.486749   3.57295e-19
   0.00472261       8.01509     -0.480859   1.77851e-19
   0.00497789       8.08791     -0.474859  -4.86909e-20
   0.00523317       8.15935     -0.468849  -2.35524e-19
   0.00548844       8.23079      -0.46284  -4.22357e-19
   0.00574372       8.29295     -0.456759  -5.74636e-19
   0.00599899       8.34516     -0.450835  -3.73508e-19
   0.00625427       8.39736     -0.444911  -1.72379e-19
   0.00650955       8.44758     -0.439006   1.74738e-19
   0.00676482       8.48607     -0.433314   9.58137e-19
    0.0070201       8.51836     -0.427821   9.47978e-19
   0.00727538       8.55064     -0.422328    9.3782e-19
   0.00753065       8.57919     -0.416926   4.70171e-19
   0.00778593       8.59866     -0.411848  -3.16492e-19
   0.00804121       8.61541     -0.406887  -7.98653e-19
   0.00829648       8.63216     -0.401926  -1.28081e-18
   0.00855176       8.64547     -0.397085  -1.43468e-18
   0.00880704       8.65402     -0.392459  -1.22068e-18
   0.00906231       8.66173      -0.38787  -8.36624e-19
   0.00931759       8.66943     -0.383282  -4.52564e-19
   0.00957286       8.67508     -0.378754   1.86368e-19
   0.00982814        8.6787     -0.374348   4.79468e-19
    0.0100834       8.68208     -0.369956   6.69899e-19
    0.0103387       8.68547     -0.365565   8.60329e-19
     0.010594       8.68783     -0.361176   6.02867e-19
    0.0108492       8.68931     -0.356786    3.1468e-19
    0.0111045       8.69073     -0.352399   2.60517e-20
    0.0113598       8.69216     -0.348012  -2.62577e-19
    0.0116151       8.69298     -0.343659  -2.85616e-19
    0.0118704       8.69332     -0.339333  -1.96819e-19
    0.0121256       8.69365     -0.335006  -1.08022e-19
    0.0123809       8.69399      -0.33068  -1.92254e-20
    0.0126362       8.69395     -0.326338  -1.12294e-20
    0.0128915       8.69343     -0.321999   8.52676e-20
    0.0131467       8.69292     -0.317661   1.81765e-19
     0.013402        8.6924     -0.313323   2.78262e-19
    0.0136573        8.6916     -0.308951   3.07807e-19
    0.0139126       8.69014     -0.304627   2.94174e-19
    0.0141678       8.68858     -0.300298   2.92131e-19
    0.0144231       8.68703     -0.295969   2.90087e-19
    0.0146784       8.68521     -0.291598   3.81911e-19
    0.0149337       8.68243     -0.287142   5.68342e-19
    0.0151889       8.67907     -0.282671   4.76214e-19
    0.0154442        8.6757     -0.278201   3.84086e-19
    0.0156995       8.67213     -0.273716   1.61234e-19
    0.0159548       8.66718     -0.269162  -3.76051e-19
    0.0162101       8.66028     -0.264529  -4.58083e-19
    0.0164653       8.65338     -0.259895  -5.40116e-19
    0.0167206       8.64647     -0.255262  -6.22148e-19
    0.0169759       8.63782     -0.250548  -2.98824e-19
    0.0172312        8.6237     -0.245597  -1.20439e-19
    0.0174864       8.60938     -0.240635   5.48628e-20
    0.0177417       8.59505     -0.235673   2.30165e-19
     0.017997       8.57825     -0.230568   4.69747e-19
    0.0182523       8.55488     -0.225327   5.93551e-19
    0.0185075       8.52743     -0.219945   4.84746e-19
    0.0187628       8.49997     -0.214563    3.7594e-19
    0.0190181       8.47228     -0.209173   2.43517e-19
    0.0192734       8.43319     -0.203008  -9.43569e-19
    0.0195286       8.37918     -0.196146  -9.65454e-19
    0.0197839       8.32517     -0.189283  -9.87338e-19
    0.0200392       8.26896     -0.182384  -6.24734e-19
    0.0202945       8.19323     -0.174698   5.63385e-19
    0.0205497       8.10726     -0.166726   5.03938e-19
     0.020805       8.02129     -0.158753   4.44492e-19
    0.0210603       7.91851     -0.150253  -8.20104e-19
    0.0213156       7.79833     -0.141355  -6.62699e-19
    0.0215709       7.67815     -0.132456  -5.05295e-19
    0.0218261       7.54073     -0.123234   6.93323e-19
    0.0220814       7.38973     -0.113876    7.7425e-19
    0.0223367       7.23755     -0.104587   4.72666e-19
     0.022592       7.06231    -0.0950422    -2.925e-19
    0.0228472       6.88391    -0.0856062  -5.79135e-19
    0.0231025       6.69003    -0.0762295  -2.31525e-19
    0.0233578       6.48471    -0.0669504  -5.35056e-20
    0.0236131       6.26466    -0.0577946   1.01542e-19
    0.0238683       6.02841    -0.0488008   1.03733e-19
    0.0241236       5.76676     -0.040006  -1.37862e-19
    0.0243789       5.48717    -0.0314358  -9.89952e-20
    0.0246342       5.14711     -0.023212  -4.16964e-21
    0.0248894       4.71764    -0.0155693   3.96789e-20
    0.0251447       3.98895   -0.00839351   7.66748e-20
       0.0254   8.81473e-14  -1.27134e-16             0
