#           x           U_x           U_y           U_z
            0             0             0             0
  0.000362954  -0.000650627    0.00167384  -3.44524e-19
  0.000725907    -0.0016676    0.00277878   4.11075e-20
   0.00108886   -0.00291283    0.00373701   -6.2669e-19
   0.00145181   -0.00462216    0.00413203   2.94452e-19
   0.00181477    -0.0062021    0.00432588   5.21292e-19
   0.00217772   -0.00752889    0.00427582   5.48203e-19
   0.00254068   -0.00901688    0.00387517   1.09921e-19
   0.00290363    -0.0100913    0.00346459  -4.63808e-19
   0.00326658    -0.0104198    0.00289729  -5.44193e-19
   0.00362954    -0.0112779    0.00224085  -9.38336e-19
   0.00399249    -0.0114572    0.00149824  -8.85741e-19
   0.00435544   -0.00989496   0.000550093  -5.98975e-19
    0.0047184     -0.010505  -0.000340551  -5.67366e-19
   0.00508135   -0.00970434   -0.00116419  -5.93449e-19
   0.00544431   -0.00739519   -0.00205872  -6.81992e-19
   0.00580726   -0.00705195   -0.00258773  -7.45396e-21
   0.00617021   -0.00560147   -0.00295436  -4.57903e-20
   0.00653317   -0.00384148   -0.00331371  -2.76323e-21
   0.00689612   -0.00226532   -0.00346234             0
   0.00725907  -0.000563258   -0.00368266             0
   0.00762203    0.00108763    -0.0039032             0
   0.00798498    0.00269048   -0.00415749   1.96615e-20
   0.00834793    0.00512061   -0.00450026   7.11993e-20
   0.00871089    0.00600609   -0.00466838   3.88284e-19
   0.00907384    0.00770575   -0.00484332    9.9275e-20
    0.0094368     0.0095262   -0.00512735   3.70604e-19
   0.00979975      0.011442   -0.00532427    4.1808e-19
    0.0101627     0.0138297   -0.00597325     4.715e-19
    0.0105257     0.0158094     -0.006178   1.60769e-19
    0.0108886     0.0182426    -0.0066892  -3.61337e-20
    0.0112516     0.0209081   -0.00729337  -2.96949e-19
    0.0116145      0.023615   -0.00768681  -3.47483e-19
    0.0119775      0.025805   -0.00818925  -3.75745e-19
    0.0123404      0.029043   -0.00804022   2.41694e-20
    0.0127034      0.031705   -0.00812716   3.24349e-19
    0.0130663     0.0338676   -0.00788736     3.451e-19
    0.0134293     0.0360055    -0.0078669   4.74853e-19
    0.0137922     0.0374065   -0.00748845   2.30474e-19
    0.0141552     0.0384328   -0.00739337  -1.85537e-19
    0.0145181     0.0355038   -0.00656195  -1.73992e-20
    0.0148811     0.0377255   -0.00667394   1.59531e-19
    0.0152441     0.0369041   -0.00636391   1.47903e-19
     0.015607     0.0313632   -0.00465227    1.4806e-19
      0.01597      0.026785   -0.00282526  -2.23711e-20
    0.0163329     0.0156503    0.00208395  -3.11335e-21
    0.0166959    0.00485713    0.00684229  -3.67617e-20
    0.0170588    -0.0152493     0.0161388  -1.14432e-19
    0.0174218    -0.0321847     0.0234784  -4.04527e-19
    0.0177847    -0.0662504     0.0384745  -4.30862e-19
    0.0181477    -0.0851386     0.0459462  -5.05814e-19
    0.0185106     -0.114991     0.0578875  -2.50144e-19
    0.0188736     -0.155856     0.0731085  -8.08643e-20
    0.0192365     -0.192988     0.0861491  -4.27103e-21
    0.0195995      -0.23767      0.100716  -3.21721e-20
    0.0199625     -0.280604      0.114142  -1.03245e-19
    0.0203254     -0.328506      0.127128  -1.03148e-19
    0.0206884     -0.377117      0.139048  -3.06756e-20
    0.0210513     -0.426228      0.147636  -3.17736e-21
    0.0214143     -0.477159      0.153572   4.06131e-21
    0.0217772     -0.525194      0.155523   1.19886e-20
    0.0221402     -0.575437      0.154462   3.82176e-20
    0.0225031     -0.610917      0.149536   3.12935e-20
    0.0228661      -0.66639      0.145016   2.13664e-20
     0.023229     -0.679433      0.136065   3.57193e-20
     0.023592     -0.749139      0.131522   5.79883e-20
    0.0239549     -0.738578       0.12211   5.23861e-20
    0.0243179      -0.82496      0.118501   6.30566e-20
    0.0246809     -0.795322      0.110069   1.31069e-20
    0.0250438     -0.894302      0.106977   5.79411e-21
    0.0254068     -0.859886     0.0999077             0
    0.0257697     -0.957826     0.0969766  -2.19785e-20
    0.0261327      -0.91436     0.0909682   -4.7403e-20
