#           y           U_x           U_y           U_z
     -0.02037     0.0122577    0.00114541             0
   -0.0201653       1.00492     0.0908403   6.04424e-18
   -0.0199606        1.9634      0.177204    1.2359e-17
   -0.0197558       2.92187      0.263567   1.86737e-17
   -0.0195511       3.55084      0.317226    2.2691e-17
   -0.0193464       3.61637      0.314551   2.28661e-17
   -0.0191417       3.68191      0.311876   2.30411e-17
   -0.0189369       3.74745      0.309201   2.32162e-17
   -0.0187322       3.79366      0.303268   1.94483e-17
   -0.0185275       3.83036      0.295701   1.29278e-17
   -0.0183228       3.86706      0.288135   6.40737e-18
    -0.018118       3.90377      0.280568  -1.09113e-19
   -0.0179133       3.93366      0.271742  -1.01237e-18
   -0.0177086       3.96342      0.262881  -2.01394e-18
   -0.0175039       3.99318      0.254019  -3.01552e-18
   -0.0172991       4.02228      0.245052  -3.70564e-18
   -0.0170944       4.04982       0.23581  -3.72447e-18
   -0.0168897       4.07737      0.226568   -3.7433e-18
    -0.016685       4.10491      0.217326  -3.76213e-18
   -0.0164803       4.13207      0.208052  -3.21207e-18
   -0.0162755         4.159      0.198745  -2.16096e-18
   -0.0160708       4.18593      0.189439  -1.10984e-18
   -0.0158661       4.21285      0.180132  -5.87274e-20
   -0.0156614       4.23987      0.170862             0
   -0.0154566        4.2669      0.161588             0
   -0.0152519       4.29393      0.152314             0
   -0.0150472       4.32106      0.143065   1.01174e-19
   -0.0148425       4.34856      0.133867   7.37245e-19
   -0.0146377       4.37607       0.12467   1.37332e-18
    -0.014433       4.40358      0.115472   2.00939e-18
   -0.0142283       4.43145       0.10634   2.28688e-18
   -0.0140236       4.45964     0.0972482   2.29964e-18
   -0.0138188       4.48783     0.0881566   2.31239e-18
   -0.0136141       4.51603      0.079065   2.32515e-18
   -0.0134094       4.54491     0.0700901   1.35854e-18
   -0.0132047       4.57392     0.0611258   1.30333e-19
   -0.0129999       4.60292     0.0521615  -1.09788e-18
   -0.0127952       4.63208     0.0432296  -2.07854e-18
   -0.0125905       4.66197     0.0344084  -2.08814e-18
   -0.0123858       4.69185     0.0255872  -2.09775e-18
   -0.0121811       4.72174      0.016766  -2.10735e-18
   -0.0119763       4.75209    0.00802819  -1.88487e-18
   -0.0117716        4.7829  -0.000638057  -1.34058e-18
   -0.0115669       4.81371   -0.00930431  -7.96293e-19
   -0.0113622       4.84452    -0.0179706  -2.52006e-19
   -0.0111574        4.8761    -0.0264972   -4.3344e-19
   -0.0109527       4.90785    -0.0349993  -6.41602e-19
    -0.010748        4.9396    -0.0435014  -8.49764e-19
   -0.0105433       4.97147    -0.0519753  -7.62929e-19
   -0.0103385       5.00417    -0.0603058   -2.2503e-19
   -0.0101338       5.03686    -0.0686363   3.12869e-19
   -0.0099291       5.06955    -0.0769667   8.50767e-19
  -0.00972437       5.10265    -0.0852123   1.10984e-18
  -0.00951965       5.13627    -0.0933654    1.3529e-18
  -0.00931492       5.16989     -0.101518   1.59597e-18
   -0.0091102        5.2035     -0.109671   1.83903e-18
  -0.00890548       5.23781      -0.11768   1.53564e-18
  -0.00870075       5.27233     -0.125651    1.0056e-18
  -0.00849603       5.30685     -0.133622   4.75562e-19
  -0.00829131       5.34145     -0.141573  -3.72788e-21
  -0.00808658       5.37683     -0.149358   -5.1343e-19
  -0.00788186       5.41221     -0.157143    -1.025e-18
  -0.00767714        5.4476     -0.164928  -1.53658e-18
  -0.00747241       5.48331     -0.172633   -1.8037e-18
  -0.00726769       5.51952     -0.180229  -1.68009e-18
  -0.00706296       5.55572     -0.187824  -1.55649e-18
  -0.00685824       5.59193      -0.19542  -1.43289e-18
  -0.00665352       5.62869     -0.202874  -1.08833e-18
  -0.00644879       5.66566     -0.210278  -5.87997e-19
  -0.00624407       5.70264     -0.217682  -8.76617e-20
  -0.00603935       5.73966     -0.225078   4.00307e-19
  -0.00583462       5.77733     -0.232287   4.82669e-19
   -0.0056299       5.81501     -0.239497   6.37717e-19
  -0.00542518       5.85269     -0.246708   7.92766e-19
  -0.00522045       5.89061     -0.253847   1.01503e-18
  -0.00501573       5.92894     -0.260862   1.03181e-18
  -0.00481101       5.96726     -0.267877   1.04859e-18
  -0.00460628       6.00558     -0.274892   1.06536e-18
  -0.00440156        6.0443     -0.281774   7.76655e-19
  -0.00419683       6.08319     -0.288593   3.58307e-19
  -0.00399211       6.12207     -0.295411  -6.00414e-20
  -0.00378739       6.16096      -0.30223   -4.7839e-19
  -0.00358266       6.20033     -0.308853  -4.27669e-19
  -0.00337794       6.23969     -0.315474   -3.5891e-19
  -0.00317322       6.27904     -0.322096   -2.9015e-19
  -0.00296849       6.31854     -0.328656  -2.28842e-19
  -0.00276377       6.35827      -0.33508  -1.63215e-19
  -0.00255905         6.398     -0.341503   -9.7588e-20
