#           x           U_x           U_y           U_z
            0             0             0             0
  0.000362954    0.00390333   -0.00933314  -4.99925e-19
  0.000725907     0.0118729    -0.0139216   5.63363e-19
   0.00108886    0.00836816    -0.0093479  -3.51025e-20
   0.00145181     0.0162787   -0.00997627   1.49043e-20
   0.00181477     0.0249858   -0.00758685   3.68398e-21
   0.00217772     0.0109812  -0.000978968   3.21138e-20
   0.00254068     0.0188915   0.000387365  -1.16073e-20
   0.00290363     0.0230714    0.00402378  -3.13573e-19
   0.00326658    0.00499556    0.00691205  -4.77475e-20
   0.00362954     0.0113443     0.0087743  -1.90052e-20
   0.00399249    0.00807263     0.0110315  -8.81262e-21
   0.00435544   -0.00649642     0.0113612  -2.38706e-20
    0.0047184   -0.00361381     0.0130522  -5.34389e-21
   0.00508135    -0.0125793      0.013781  -6.52222e-21
   0.00544431    -0.0187918     0.0137828  -5.72436e-21
   0.00580726    -0.0256097      0.014971   1.85054e-19
   0.00617021    -0.0331321     0.0150748   7.56182e-21
   0.00653317    -0.0363119     0.0153912             0
   0.00689612    -0.0544492     0.0161744             0
   0.00725907    -0.0492531      0.016134             0
   0.00762203    -0.0631048     0.0166837             0
   0.00798498    -0.0785913     0.0171608             0
   0.00834793    -0.0631515     0.0171899   5.88981e-21
   0.00871089     -0.102747     0.0179249   1.03414e-19
   0.00907384    -0.0913257     0.0180635   3.86769e-21
    0.0094368     -0.100123     0.0184058   6.50495e-21
   0.00979975     -0.133514     0.0190085   1.53592e-21
    0.0101627     -0.091187      0.018825   1.22128e-20
    0.0105257     -0.155448     0.0196441             0
    0.0108886     -0.134593     0.0196916             0
    0.0112516       -0.1459     0.0199913  -5.46063e-21
    0.0116145     -0.186383     0.0205456  -1.85139e-21
    0.0119775     -0.130823     0.0202502  -9.73502e-21
    0.0123404     -0.223481     0.0211358             0
    0.0127034      -0.16636     0.0208381   7.11337e-21
    0.0130663     -0.212065     0.0212896   4.42824e-21
    0.0134293     -0.223612     0.0214246   4.41058e-20
    0.0137922     -0.194559     0.0213677   2.00396e-20
    0.0141552     -0.285807     0.0218115  -5.70442e-20
    0.0145181     -0.173103     0.0214297  -3.10842e-22
    0.0148811     -0.311473     0.0218276     5.572e-20
    0.0152441     -0.230452     0.0216407   1.96927e-20
     0.015607     -0.295747     0.0217339   3.87197e-20
      0.01597     -0.291614     0.0216506   1.12284e-21
    0.0163329     -0.277607     0.0217577             0
    0.0166959      -0.35536     0.0215657             0
    0.0170588     -0.257679     0.0219807  -1.79082e-21
    0.0174218      -0.41478     0.0216743  -5.03494e-20
    0.0177847     -0.248205     0.0224245  -1.35043e-20
    0.0181477     -0.437109     0.0224793  -4.83415e-20
    0.0185106     -0.304693     0.0232113  -7.86091e-21
    0.0188736     -0.427006     0.0240097             0
    0.0192365     -0.361709     0.0249043             0
    0.0195995     -0.417379     0.0259712  -6.89248e-22
    0.0199625       -0.4187     0.0282025  -2.65836e-20
    0.0203254     -0.408785     0.0284897  -2.31071e-20
    0.0206884     -0.475292     0.0333624  -5.67035e-22
    0.0210513     -0.401887     0.0309278             0
    0.0214143     -0.531254     0.0396459             0
    0.0217772     -0.397195     0.0329385    1.2143e-21
    0.0221402     -0.586138     0.0493548   4.02932e-20
    0.0225031     -0.395077     0.0351743   8.17068e-21
    0.0228661     -0.639575      0.059882   1.94718e-23
     0.023229     -0.396102     0.0363138   8.54478e-21
     0.023592     -0.677818     0.0657385   4.39167e-20
    0.0239549     -0.400536     0.0378247   1.42305e-20
    0.0243179     -0.713641     0.0812243   9.50278e-20
    0.0246809     -0.411819     0.0367948   3.96712e-21
    0.0250438      -0.75207     0.0611632             0
    0.0254068     -0.436953      0.028938             0
    0.0257697     -0.790104     0.0186214             0
    0.0261327     -0.455198     0.0245475   -1.4699e-20
    0.0264956     -0.818335     0.0218641             0
    0.0268586     -0.466351     0.0262544  -2.95677e-20
    0.0272215     -0.850891     0.0286336             0
    0.0275845     -0.493051     0.0277398  -2.81722e-20
    0.0279474     -0.886841     0.0317958             0
    0.0283104      -0.53105     0.0284183   5.22161e-21
    0.0286733      -0.91928     0.0314321   1.03202e-19
    0.0290363     -0.577546     0.0285471   3.72613e-20
    0.0293992      -0.92296     0.0313611   9.48538e-20
    0.0297622     -0.633205     0.0288061   2.14699e-20
    0.0301252     -0.916997     0.0310844   8.08018e-20
    0.0304881     -0.699058     0.0290905   3.56647e-20
    0.0308511     -0.900236     0.0306139   1.49693e-21
     0.031214      -0.77586     0.0294032   4.50285e-21
     0.031577     -0.871786     0.0299745  -5.25722e-20
    0.0319399     -0.864396     0.0297453  -5.52354e-20
    0.0323029     -0.830825     0.0292072  -2.80494e-21
    0.0326658     -0.965434     0.0301297   1.41125e-21
    0.0330288     -0.776559     0.0283345   3.10303e-20
    0.0333917       -1.0797     0.0305619   8.00662e-20
    0.0337547     -0.708242     0.0273722   3.13862e-20
    0.0341176      -1.18705     0.0308785   8.69654e-20
    0.0344806     -0.661363     0.0266048   1.92688e-20
    0.0348436      -1.20476     0.0304524   5.82157e-22
    0.0352065     -0.788873     0.0271509             0
    0.0355695      -1.12103     0.0293205             0
    0.0359324     -0.931972     0.0277609             0
    0.0362954      -1.02088     0.0281153             0
    0.0366583       -1.0913     0.0284331     1.454e-21
    0.0370213     -0.903697     0.0268401   2.86923e-20
    0.0373842      -1.26746     0.0291658   7.14476e-20
    0.0377472     -0.768885     0.0254976   3.87651e-21
    0.0381101      -1.37387     0.0293416             0
    0.0384731     -0.841115     0.0255791   9.23622e-21
     0.038836      -1.26609     0.0281103   2.37281e-21
     0.039199      -1.03896     0.0264481   6.26451e-21
     0.039562      -1.10747     0.0266113   5.42862e-21
    0.0399249      -1.25563     0.0273727   3.04562e-21
    0.0402879     -0.929261     0.0250489   8.35594e-21
