#           x           U_x           U_y           U_z
            0             0             0             0
  0.000362954  -0.000246776   0.000692468  -6.99329e-19
  0.000725907   -0.00115076    0.00115871   1.05643e-18
   0.00108886   -0.00155464    0.00186402  -2.94123e-19
   0.00145181   -0.00278646     0.0019254   1.16083e-19
   0.00181477   -0.00481624    0.00223789   2.86929e-20
   0.00217772   -0.00406373    0.00215764   2.50121e-19
   0.00254068     -0.005955     0.0021274   2.61036e-21
   0.00290363   -0.00845221    0.00209889  -1.00989e-18
   0.00326658    -0.0055951    0.00147005    -2.522e-19
   0.00362954   -0.00840386    0.00142988  -2.20752e-19
   0.00399249    -0.0102576    0.00101756  -1.02362e-19
   0.00435544    -0.0051109   0.000272953  -2.92739e-19
    0.0047184   -0.00980909   2.58117e-05   -8.2898e-20
   0.00508135   -0.00920602   -0.00053488  -1.01177e-19
   0.00544431   -0.00415953   -0.00100401   -3.2108e-19
   0.00580726   -0.00994111   -0.00104183   1.03092e-18
   0.00617021   -0.00554505   -0.00124376  -1.54146e-20
   0.00653317   -0.00360857   -0.00149997             0
   0.00689612   -0.00736763  -0.000907628             0
   0.00725907   -0.00095645   -0.00175065             0
   0.00762203    -0.0027396   -0.00150442             0
   0.00798498   -0.00223425   -0.00165743             0
   0.00834793     0.0022766   -0.00221739   3.39265e-20
   0.00871089   -0.00101611   -0.00187488   1.29428e-18
   0.00907384    0.00291723   -0.00222439   2.23291e-20
    0.0094368    0.00342167   -0.00229021   1.24841e-19
   0.00979975    0.00405091   -0.00176964   2.94769e-20
    0.0101627    0.00690091   -0.00298044   2.34383e-19
    0.0105257    0.00704002   -0.00187711             0
    0.0108886    0.00946387   -0.00294525             0
    0.0112516      0.010613   -0.00309233  -1.00421e-19
    0.0116145     0.0139044   -0.00296591   -3.4047e-20
    0.0119775     0.0129945    -0.0040349  -1.79027e-19
    0.0123404     0.0190895   -0.00304712             0
    0.0127034     0.0172541   -0.00396881    1.3182e-19
    0.0130663      0.021098   -0.00366831   6.82467e-20
    0.0134293     0.0235975   -0.00416051   6.15229e-19
    0.0137922     0.0208419   -0.00385998    2.8011e-19
    0.0141552     0.0307437   -0.00511817  -7.86425e-19
    0.0145181     0.0177854   -0.00328646  -9.65192e-21
    0.0148811     0.0338854   -0.00550647   7.71361e-19
    0.0152441     0.0222518   -0.00375737   2.12741e-19
     0.015607     0.0291186    -0.0045285     5.271e-19
      0.01597     0.0270243   -0.00426653  -6.85751e-21
    0.0163329     0.0182535   -0.00133876             0
    0.0166959     0.0316796   -0.00565395             0
    0.0170588   -0.00288003    0.00646608  -5.13829e-20
    0.0174218     0.0325901   -0.00794255  -7.96785e-19
    0.0177847    -0.0323532     0.0188788  -2.26964e-19
    0.0181477     0.0162437   -0.00394699  -9.16794e-19
    0.0185106    -0.0524527     0.0262183  -1.09195e-19
    0.0188736    -0.0350233     0.0155509             0
    0.0192365    -0.0848591      0.036127             0
    0.0195995    -0.0925129     0.0361907  -8.76354e-21
    0.0199625     -0.132313     0.0503728  -1.67111e-19
    0.0203254      -0.15367     0.0569567  -1.46932e-19
    0.0206884     -0.201669     0.0699046  -7.19763e-21
    0.0210513     -0.215484     0.0734585             0
    0.0214143      -0.29149       0.08647             0
    0.0217772     -0.270369     0.0795861   5.16897e-21
    0.0221402      -0.39771     0.0930996   1.10628e-19
    0.0225031     -0.314601     0.0765042   2.44502e-20
    0.0228661     -0.507211     0.0891293   8.27809e-23
     0.023229     -0.347402      0.069019   1.71037e-20
     0.023592     -0.598639     0.0794432   9.03447e-20
    0.0239549     -0.373175     0.0613976    2.7204e-20
    0.0243179     -0.679133      0.070449   1.63054e-19
    0.0246809     -0.398865      0.055107   6.54503e-21
    0.0250438     -0.752249     0.0627102             0
    0.0254068     -0.434624      0.050071             0
    0.0257697     -0.818822     0.0561454             0
    0.0261327     -0.462247     0.0455857  -2.34661e-20
    0.0264956     -0.879763     0.0506719             0
    0.0268586     -0.480358     0.0417064  -4.68158e-20
    0.0272215     -0.935943      0.046142             0
    0.0275845     -0.514493     0.0387215  -4.39073e-20
    0.0279474     -0.988163     0.0423945             0
    0.0283104     -0.561069     0.0363484   2.63692e-21
    0.0286733      -1.03119     0.0392516   1.13649e-19
    0.0290363     -0.617212     0.0344199   4.11579e-20
    0.0293992      -1.03694     0.0364429   1.03752e-19
    0.0297622     -0.683928     0.0328525   1.49944e-20
    0.0301252      -1.02817     0.0340584   8.59545e-20
    0.0304881     -0.762096       0.03158   3.67695e-20
    0.0308511      -1.00462     0.0320231   7.80315e-22
     0.031214     -0.852487     0.0305516   9.24885e-21
     0.031577     -0.966013      0.030292  -5.36921e-20
    0.0319399     -0.955795      0.029743  -5.86281e-20
    0.0323029     -0.912122     0.0288379  -1.67905e-21
    0.0326658      -1.07272     0.0291706   8.43793e-22
    0.0330288     -0.842615     0.0275668   3.18414e-20
    0.0333917      -1.20389     0.0288015   8.62947e-20
    0.0337547     -0.757129      0.026395   3.37559e-20
    0.0341176      -1.32504     0.0284366   9.36602e-20
    0.0344806     -0.698197     0.0254732   2.29583e-20
    0.0348436       -1.3385      0.027678   7.05012e-22
    0.0352065       -0.8456     0.0254609             0
    0.0355695      -1.23298     0.0266086             0
    0.0359324       -1.0096     0.0255287             0
    0.0362954       -1.1098     0.0255835             0
    0.0366583      -1.19064      0.025673   8.59653e-22
    0.0370213     -0.968615     0.0245886   2.94655e-20
    0.0373842      -1.38918     0.0258905   7.65767e-20
    0.0377472      -0.80907      0.023618   2.29696e-21
    0.0381101      -1.50498     0.0258157             0
    0.0384731     -0.889644      0.023542   1.32049e-20
     0.038836      -1.37442      0.024959   3.39237e-21
     0.039199      -1.11306     0.0239462   8.95626e-21
     0.039562       -1.1879     0.0239231   7.76121e-21
    0.0399249      -1.35567     0.0243012   4.35082e-21
    0.0402879     -0.981598     0.0229511   1.19369e-20
    0.0406508      -1.60957     0.0246705             0
    0.0410138     -0.868727     0.0223211    1.4401e-20
    0.0413767      -1.53039     0.0241018    2.1186e-21
    0.0417397      -1.14054     0.0228318  -9.26175e-21
    0.0421026      -1.29319     0.0231202  -6.80017e-21
    0.0424656      -1.43306     0.0234022  -4.42558e-21
    0.0428285      -1.03473     0.0220832  -1.17412e-20
    0.0431915      -1.71284     0.0239508             0
    0.0435544     -0.966879      0.021589   1.27557e-20
    0.0439174      -1.55909     0.0231943   3.08896e-21
    0.0442804      -1.29221     0.0222623  -1.06053e-21
    0.0446433      -1.26624     0.0219958  -3.36241e-20
    0.0450063      -1.63953     0.0229542  -6.61905e-20
    0.0453692     -0.950853     0.0207629  -1.56237e-20
    0.0457322      -1.77328     0.0228879  -7.52295e-22
    0.0460951       -1.2014     0.0211572  -9.46043e-21
    0.0464581      -1.44369     0.0215604  -6.01942e-21
     0.046821      -1.58482     0.0217875  -3.36425e-21
     0.047184      -1.09075     0.0202926   2.73723e-21
    0.0475469      -1.88212     0.0219919   7.28695e-20
    0.0479099      -1.16618     0.0201586   2.06778e-20
    0.0482728      -1.56159     0.0207476    4.7417e-20
    0.0486358      -1.58771     0.0206629    4.8099e-20
    0.0489987        -1.169     0.0195698   1.74243e-21
    0.0493617      -1.94836     0.0208416             0
    0.0497247      -1.19162     0.0192862  -1.19479e-20
    0.0500876      -1.61457     0.0197951   -5.0359e-20
    0.0504506      -1.65289     0.0197023  -5.14702e-20
    0.0508135      -1.18068     0.0186836   2.18185e-21
    0.0511765      -2.01298     0.0198779   6.96161e-20
    0.0515394      -1.28221     0.0184811   2.07014e-20
    0.0519024      -1.59775     0.0187892   9.36663e-22
    0.0522653      -1.78436     0.0189269  -5.45083e-22
    0.0526283      -1.12123     0.0176192   -8.4464e-21
    0.0529912      -2.00248      0.018859  -6.35695e-20
    0.0533542      -1.44174     0.0177544  -3.55792e-20
    0.0537171      -1.50705     0.0176497  -8.22046e-21
    0.0540801      -1.98568      0.018267  -1.43077e-21
    0.0544431      -1.11113     0.0165751  -1.18311e-20
     0.054806      -1.87884     0.0176484  -2.97191e-21
     0.055169      -1.67346     0.0171108   9.14847e-22
    0.0555319      -1.33919      0.016309   1.81158e-20
    0.0558949      -2.16495     0.0174914   6.60775e-20
    0.0562578      -1.37472     0.0159506   1.96091e-20
    0.0566208      -1.67586     0.0162052   9.90701e-22
    0.0569837      -1.97995     0.0165192   1.90347e-21
    0.0573467      -1.09168     0.0148232   9.78413e-21
    0.0577096      -1.99621     0.0160379  -4.99216e-20
    0.0580726      -1.71494     0.0153976  -3.09599e-20
    0.0584355      -1.39146     0.0146318   7.36896e-21
    0.0587985       -2.2483     0.0157394             0
    0.0591615      -1.46547     0.0143202  -6.61264e-21
    0.0595244      -1.67371     0.0143808   2.55943e-20
    0.0598874      -2.13321     0.0148788   5.47556e-20
    0.0602503       -1.2323     0.0132901  -1.08465e-21
    0.0606133      -1.93769     0.0140759   4.11209e-20
