0 0
0.0142895 0.00596844
0.028579 0.0117266
0.0428685 0.0149618
0.0571579 0.0187777
0.0714476 0.0204033
0.085737 0.0186542
0.100027 0.0179736
0.114316 0.014571
0.128606 0.00778889
0.142895 0.00368243
0.157185 -0.00322891
0.171474 -0.0132672
0.185764 -0.0195932
0.200053 -0.0286089
0.214343 -0.0383448
0.228632 -0.0484007
0.242922 -0.0587608
0.257211 -0.0697882
0.271501 -0.0809569
0.28579 -0.0921245
0.30008 -0.104412
0.314369 -0.116457
0.328659 -0.123801
0.342948 -0.141675
0.357238 -0.154486
0.371528 -0.16791
0.385817 -0.181273
0.400106 -0.181511
0.414398 -0.208976
0.428685 -0.222964
0.442976 -0.237544
0.457264 -0.251992
0.471555 -0.254221
0.485843 -0.2818
0.500134 -0.296747
0.514421 -0.31234
0.528713 -0.327665
0.543 -0.343566
0.557291 -0.359234
0.571579 -0.345586
0.58587 -0.391412
0.600161 -0.407403
0.614449 -0.424156
0.62874 -0.440418
0.643028 -0.457443
0.657319 -0.473978
0.671606 -0.484687
0.685898 -0.508132
0.700185 -0.489744
0.714476 -0.54294
0.728764 -0.560127
0.743055 -0.578426
0.757343 -0.595947
0.771634 -0.614586
0.785925 -0.632443
0.800213 -0.651442
0.814504 -0.669705
0.828791 -0.689093
0.843083 -0.707793
0.85737 -0.727499
0.871661 -0.746572
0.885949 -0.750113
0.90024 -0.786067
0.914528 -0.76909
0.928819 -0.82644
0.943106 -0.791632
0.957398 -0.867034
0.971689 -0.821263
0.985976 -0.908469
1.00027 -0.865226
1.01456 -0.949122
1.02885 -0.901477
1.04313 -0.986038
1.05743 -0.929954
1.07171 -1.02334
1.086 -0.974444
1.10029 -1.06163
1.11458 -1.03049
1.12887 -1.10007
1.14316 -1.09501
1.15745 -1.13804
1.17174 -1.15679
1.18603 -1.17572
1.20032 -1.19431
1.21461 -1.21309
1.2289 -1.23147
1.24319 -1.25009
1.25748 -1.26826
1.27177 -1.28671
1.28606 -1.30465
1.30035 -1.32293
1.31463 -1.34063
1.32893 -1.33306
1.34321 -1.3762
1.3575 -1.30387
1.3718 -1.41134
1.38608 -1.42858
1.40037 -1.44606
1.41466 -1.46305
1.42895 -1.48035
1.44324 -1.4971
1.45753 -1.51421
1.47182 -1.53071
1.48611 -1.48135
1.5004 -1.56388
1.51469 -1.57083
1.52898 -1.59662
1.54327 -1.6126
1.55756 -1.62891
1.57185 -1.64464
1.58614 -1.66077
1.60043 -1.67622
1.61472 -1.61236
1.629 -1.70736
1.6433 -1.72254
1.65758 -1.73804
1.67187 -1.75294
1.68616 -1.76826
1.70045 -1.78288
1.71474 -1.75628
1.72903 -1.81234
1.74332 -1.82666
1.75761 -1.84133
1.7719 -1.85535
1.78619 -1.77835
1.80048 -1.88354
1.81477 -1.89725
1.82906 -1.91125
1.84335 -1.92464
1.85764 -1.93846
1.87193 -1.95152
1.88622 -1.96457
1.9005 -1.97788
1.9148 -1.9906
1.92908 -2.00374
1.94337 -2.01612
1.95767 -2.02849
1.97195 -2.0411
1.98624 -2.05312
2.00053 -2.06556
2.01482 -2.07721
2.02911 -2.08887
2.0434 -2.10077
2.05769 -2.11205
2.07198 -2.06231
2.08627 -2.13468
2.10056 -2.14557
2.11485 -2.15676
2.12914 -2.16727
2.14343 -2.08059
2.15772 -2.1884
2.17201 -2.1985
2.1863 -2.20897
2.20059 -2.21867
2.21487 -2.22836
2.22917 -2.23827
2.24345 -2.24755
2.25774 -2.10058
2.27203 -2.26617
2.28632 -2.27503
2.30061 -2.28422
2.3149 -2.29265
2.32919 -2.30107
2.34348 -2.3097
2.35777 -2.31769
2.37206 -2.26568
2.38635 -2.33372
2.40064 -2.34126
2.41493 -2.3088
2.42922 -2.35629
2.44351 -2.36338
2.4578 -2.37074
2.47209 -2.37737
2.48637 -2.38401
2.50067 -2.39081
2.51495 -2.39697
2.52924 -2.40314
2.54354 -2.40938
2.55782 -2.41508
2.57211 -2.32178
2.5864 -2.42645
2.60069 -2.43167
2.61498 -2.34833
2.62927 -2.44201
2.64356 -2.44676
2.65785 -2.4518
2.67214 -2.45606
2.68643 -2.46032
2.70072 -2.46482
2.71501 -2.46859
2.7293 -2.47236
2.74359 -2.47632
2.75788 -2.4796
2.77217 -2.48288
2.78646 -2.4863
2.80074 -2.48909
2.81504 -2.49187
2.82932 -2.49476
2.84361 -2.49704
2.8579 -2.49933
2.87219 -2.50169
2.88648 -2.50347
2.90077 -2.50526
2.91506 -2.50709
2.92935 -2.50838
2.94364 -2.50968
2.95793 -2.511
2.97222 -2.51179
2.98651 -2.51259
3.0008 -2.5134
3.01509 -2.51372
3.02938 -2.51403
3.04367 -2.51434
3.05796 -2.51419
3.07224 -2.51404
3.08654 -2.50858
3.10083 -2.51332
3.11511 -2.51271
3.12941 -2.3977
3.14369 -2.51114
3.15798 -2.51007
3.17227 -2.48366
3.18656 -2.50765
3.20085 -2.50613
3.21514 -2.50461
3.22943 -2.50289
3.24372 -2.50092
3.25801 -2.49894
3.2723 -2.49686
3.28659 -2.49445
3.30088 -2.49203
3.31517 -2.4896
3.32946 -2.48675
3.34375 -2.48389
3.35804 -2.36787
3.37233 -2.47784
3.38661 -2.47454
3.40091 -2.47124
3.41519 -2.46774
3.42948 -2.46401
3.44377 -2.46028
3.45806 -2.45647
3.47235 -2.45232
3.48664 -2.44816
3.50093 -2.37754
3.51522 -2.43949
3.52951 -2.43491
3.5438 -2.43034
3.55809 -2.42555
3.57238 -2.42056
3.58667 -2.41557
3.60096 -2.41054
3.61525 -2.40514
3.62954 -2.39974
3.64383 -2.36138
3.65811 -2.38866
3.67241 -2.38286
3.6867 -2.37706
3.70098 -2.37116
3.71528 -2.36497
3.72956 -2.35877
3.74385 -2.25657
3.75814 -2.34608
3.77243 -2.3395
3.78672 -2.33293
3.80101 -2.32623
3.8153 -2.31928
3.82959 -2.31233
3.84388 -2.22503
3.85817 -2.29813
3.87246 -2.29081
3.88675 -2.28349
3.90104 -2.27608
3.91533 -2.2684
3.92962 -2.26072
3.9439 -2.25304
3.95819 -2.24512
3.97248 -2.2371
3.98677 -2.22907
4.00106 -2.22101
4.01535 -2.21264
4.02965 -2.20428
4.04394 -2.19591
4.05823 -2.18739
4.07252 -2.17869
4.08681 -2.17
4.1011 -2.10689
4.11539 -2.15235
4.12969 -2.14334
4.14398 -2.13432
4.15827 -2.12527
4.17252 -2.11595
4.18681 -2.10663
4.2011 -2.09731
4.21539 -2.08787
4.22969 -2.07825
4.24398 -2.06863
4.25827 -2.05901
4.27256 -2.0492
4.28685 -2.0393
4.30114 -2.02939
4.31543 -1.98885
4.32972 -2.00934
4.34402 -1.99916
4.35831 -1.98898
4.3726 -1.97878
4.38689 -1.96833
4.40118 -1.95789
4.41547 -1.94744
4.42976 -1.93694
4.44406 -1.92624
4.45835 -1.91555
4.47264 -1.90485
4.48689 -1.89406
4.50118 -1.88313
4.51547 -1.8722
4.52976 -1.86126
4.54406 -1.85021
4.55835 -1.83905
4.57264 -1.82789
4.58693 -1.81673
4.60122 -1.80544
4.61551 -1.79406
4.6298 -1.78269
4.64409 -1.77131
4.65839 -1.7598
4.67268 -1.74822
4.68697 -1.73664
4.70126 -1.72506
4.71555 -1.71336
4.72984 -1.70159
4.74413 -1.68982
4.75843 -1.67805
4.77272 -1.66617
4.78697 -1.65422
4.80126 -1.64227
4.81555 -1.63032
4.82984 -1.61828
4.84413 -1.60616
4.85843 -1.59405
4.87272 -1.58193
4.88701 -1.56974
4.9013 -1.55748
4.91559 -1.54521
