#           x           U_x           U_y           U_z
  2.93293e-20   5.49161e-19  -3.43864e-18   2.16533e-34
  0.000362954    0.00371401    -0.0284968   1.10545e-18
  0.000725907    0.00617203    -0.0293148  -3.06325e-19
   0.00108886    0.00514824     -0.019865  -2.22992e-20
   0.00145181    0.00337402    -0.0114608  -1.13909e-20
   0.00181477   0.000502879   -0.00217784   1.43197e-19
   0.00217772   -0.00365714    0.00775109  -2.09685e-21
   0.00254068   -0.00905681      0.015618    1.6332e-20
   0.00290363     -0.014752     0.0229615   6.72383e-20
   0.00326658    -0.0211126     0.0302681  -6.97258e-20
   0.00362954    -0.0289794     0.0357709  -1.51448e-19
   0.00399249    -0.0370327       0.04053  -1.32529e-19
   0.00435544    -0.0453288     0.0454487  -4.72605e-21
    0.0047184    -0.0554179     0.0486701   6.88192e-21
   0.00508135    -0.0654298     0.0515977  -8.16848e-20
   0.00544431    -0.0753692     0.0549257  -5.10692e-20
   0.00580726    -0.0871957     0.0568959  -5.47644e-20
   0.00617021    -0.0986588     0.0589196  -1.24667e-20
   0.00653317     -0.110266     0.0613102   -1.5958e-20
   0.00689612     -0.123013      0.062871  -2.67284e-20
   0.00725907     -0.134854     0.0648938  -4.97137e-20
   0.00762203     -0.148718     0.0663615  -5.49239e-21
   0.00798498     -0.161999     0.0677986    2.8102e-21
   0.00834793     -0.174034     0.0698985   2.49212e-20
   0.00871089     -0.189567     0.0708342  -1.09539e-20
   0.00907384     -0.203334     0.0722402    1.6259e-20
    0.0094368     -0.218185      0.073653   2.83632e-20
   0.00979975     -0.232875     0.0748208   6.80527e-20
    0.0101627      -0.24524     0.0768164   1.30909e-20
    0.0105257      -0.26308     0.0773426   1.55188e-20
    0.0108886     -0.278114     0.0784986   2.21735e-20
    0.0112516     -0.294232     0.0796934   1.78639e-20
    0.0116145     -0.310101     0.0806542  -3.38734e-20
    0.0119775     -0.323535     0.0824476  -4.22822e-20
    0.0123404     -0.342682     0.0827525  -1.97387e-20
    0.0127034     -0.357767     0.0840204   4.68925e-21
    0.0130663     -0.376159     0.0846967   3.16705e-20
    0.0134293     -0.393138     0.0854581  -1.80812e-20
    0.0137922     -0.409187     0.0867655   8.10794e-21
    0.0141552     -0.428008     0.0871768   4.22972e-20
    0.0145181      -0.44116      0.089086   4.96409e-20
    0.0148811     -0.463784     0.0887778   1.86167e-21
    0.0152441     -0.480088     0.0898645    -1.887e-21
     0.015607     -0.500473     0.0902979  -5.19338e-21
      0.01597      -0.51907      0.090865   1.20979e-20
    0.0163329     -0.537721     0.0918566   1.77886e-20
    0.0166959     -0.557199     0.0923653   1.87318e-20
    0.0170588     -0.572743      0.094035   2.60893e-20
    0.0174218     -0.596235     0.0939306   3.82748e-20
    0.0177847     -0.609266     0.0961649   2.71064e-20
    0.0181477     -0.636107     0.0955815   -2.3801e-21
    0.0185106      -0.65239     0.0972014   1.25099e-21
    0.0188736      -0.67674     0.0972878   7.83805e-22
    0.0192365     -0.696637     0.0982028             0
    0.0195995     -0.718087     0.0989714   4.50659e-21
    0.0199625      -0.73925       0.09966   1.90468e-20
    0.0203254     -0.760057      0.100519   1.90252e-20
    0.0206884      -0.78157      0.101082   4.26148e-21
    0.0210513     -0.800137      0.102433             0
    0.0214143     -0.824151      0.102164   -1.4703e-21
    0.0217772     -0.839126      0.104567  -5.70235e-21
    0.0221402     -0.866527      0.103011  -1.34262e-20
    0.0225031      -0.87782      0.106794   7.58713e-21
    0.0228661     -0.908522      0.103663   4.98227e-21
     0.023229     -0.916171      0.108773   5.97664e-22
     0.023592     -0.949406      0.104171  -9.18827e-22
    0.0239549     -0.953563      0.110905  -3.01385e-20
    0.0243179     -0.988385      0.104685  -4.64381e-20
    0.0246809     -0.990864       0.11111  -1.24287e-20
    0.0250438      -1.02705      0.104937  -5.29813e-21
    0.0254068      -1.03019       0.10708             0
    0.0257697      -1.06652      0.104839  -1.05877e-20
    0.0261327      -1.06927      0.104695  -3.50347e-20
    0.0264956      -1.10699      0.105359  -7.38601e-20
    0.0268586      -1.10687      0.105312  -4.77859e-20
    0.0272215      -1.14574      0.105813  -6.17981e-20
    0.0275845      -1.14512      0.105773   -1.3261e-20
    0.0279474      -1.18264      0.105816  -5.10104e-20
    0.0283104      -1.18366      0.105483  -1.91519e-20
    0.0286733      -1.21835      0.105325   6.35899e-22
    0.0290363      -1.22229      0.104775  -3.22525e-20
    0.0293992      -1.25337      0.104561  -6.13718e-20
    0.0297622      -1.26123      0.103957  -5.56119e-20
    0.0301252      -1.28778      0.103663  -9.06596e-20
    0.0304881      -1.30048      0.103056  -4.89656e-20
    0.0308511      -1.32162      0.102667   5.37147e-20
     0.031214      -1.33796      0.102067   8.10794e-20
     0.031577      -1.35493        0.1016   5.80997e-20
    0.0319399      -1.37102      0.100977   4.44824e-20
    0.0323029      -1.38775      0.100485   2.08315e-20
    0.0326658      -1.40359      0.099846   7.48745e-21
    0.0330288      -1.41574     0.0992616  -1.16209e-20
    0.0333917      -1.43569     0.0986885  -1.05166e-20
    0.0337547      -1.43897     0.0979413   2.64939e-20
    0.0341176      -1.46733     0.0975134   2.91712e-20
    0.0344806      -1.46444     0.0966448   1.84327e-20
    0.0348436      -1.49852     0.0963267   5.12443e-21
    0.0352065      -1.50554     0.0955724             0
    0.0355695      -1.52927     0.0951316  -3.09455e-21
    0.0359324      -1.54415     0.0944675   -1.1116e-20
    0.0362954      -1.55957     0.0939295  -1.25389e-20
    0.0366583      -1.57421     0.0932616  -1.82133e-20
    0.0370213       -1.5866      0.092671  -3.52709e-20
    0.0373842      -1.60384     0.0920484   -2.9763e-20
    0.0377472      -1.60367     0.0912373  -8.73167e-21
    0.0381101      -1.63302     0.0908268   8.31505e-21
    0.0384731      -1.63712     0.0900354   3.31688e-20
     0.038836      -1.66175     0.0895955   6.66298e-20
     0.039199      -1.67567     0.0889111   8.12141e-20
     0.039562      -1.69004     0.0883534   4.70995e-20
    0.0399249      -1.70371      0.087661   3.23354e-20
    0.0402879      -1.71091     0.0869739   5.06758e-20
    0.0406508      -1.73129     0.0863974   4.62185e-20
    0.0410138      -1.73047     0.0855384   1.50081e-20
    0.0413767      -1.75843     0.0851187   1.55062e-21
    0.0417397      -1.77157     0.0844067  -4.48767e-21
    0.0421026       -1.7851     0.0838237  -3.48915e-20
    0.0424656      -1.79798        0.0831  -3.48124e-20
    0.0428285      -1.80453     0.0823856  -6.59303e-21
    0.0431915      -1.82391     0.0817749   1.13193e-20
    0.0435544      -1.82571     0.0809207    3.1795e-20
    0.0439174      -1.84938     0.0804308   5.52541e-20
    0.0442804       -1.8617     0.0796812   5.70513e-20
    0.0446433      -1.87437     0.0790668   1.19563e-20
    0.0450063       -1.8864     0.0783031  -1.61688e-20
    0.0453692      -1.88548     0.0774223  -2.48105e-20
    0.0457322      -1.91062     0.0769042  -2.89138e-20
    0.0460951      -1.92131     0.0761146  -4.61617e-20
    0.0464581      -1.93434     0.0754842  -7.03085e-20
     0.046821      -1.94577     0.0746911  -6.23007e-20
     0.047184      -1.94993     0.0738889  -4.35113e-20
    0.0475469      -1.96869      0.073235  -2.74207e-20
    0.0479099      -1.97549     0.0723798   -2.8317e-21
    0.0482728      -1.99111     0.0717579  -6.07126e-21
    0.0486358      -2.00191     0.0709346   -1.7511e-21
    0.0489987      -2.00775     0.0701485   1.41758e-20
    0.0493617       -2.0235     0.0694218   1.74492e-20
    0.0497247      -2.02949     0.0685344   2.24901e-20
    0.0500876      -2.04457     0.0678886   1.24543e-20
    0.0504506       -2.0547     0.0670358   1.95573e-20
    0.0508135      -2.05928     0.0662056   2.96711e-20
    0.0511765      -2.07492     0.0654687   2.10661e-20
    0.0515394      -2.08274     0.0645795   2.24424e-20
    0.0519024      -2.09461     0.0638826   2.74908e-20
    0.0522653      -2.10405     0.0630017   1.39395e-20
    0.0526283       -2.1049      0.062069    1.0948e-20
    0.0529912      -2.12286     0.0613843   1.67703e-20
    0.0533542      -2.13194     0.0604902   1.41673e-20
    0.0537171      -2.14115     0.0597499  -1.90451e-20
    0.0540801      -2.14986     0.0588434  -1.23579e-20
    0.0544431      -2.14926     0.0578287    1.0649e-20
     0.054806      -2.16724     0.0571812    8.3657e-21
     0.055169      -2.17557      0.056263  -3.04002e-21
    0.0555319      -2.18191     0.0554477  -1.53894e-20
    0.0558949      -2.19204     0.0545752  -2.62484e-20
    0.0562578      -2.19883     0.0536322   -3.4691e-20
    0.0566208      -2.20798     0.0528743  -2.49058e-20
    0.0569837      -2.21554     0.0519355  -2.53327e-20
    0.0573467      -2.21309     0.0508728  -2.88668e-20
    0.0577096      -2.23055     0.0502129   1.07843e-20
    0.0580726      -2.23772     0.0492651   2.00877e-20
    0.0584355      -2.24344     0.0484331  -7.37223e-21
    0.0587985      -2.25179     0.0475234  -8.78584e-21
    0.0591615      -2.25856     0.0465676  -1.02455e-20
    0.0595244      -2.26533     0.0457722  -4.00704e-20
    0.0598874      -2.27169     0.0448093  -4.31611e-20
    0.0602503      -2.27204     0.0437649  -2.82544e-20
    0.0606133      -2.28428      0.043043  -2.84009e-20
    0.0609762      -2.29023      0.042074  -3.28969e-20
    0.0613392      -2.29102      0.041092  -2.29694e-20
    0.0617021      -2.30188     0.0402946  -9.66794e-21
    0.0620651      -2.30741     0.0393205   -5.9053e-22
     0.062428      -2.31295     0.0385073   1.04488e-20
     0.062791      -2.31811     0.0375306   1.40956e-20
    0.0631539      -2.32322     0.0365523   1.76902e-20
    0.0635169      -2.32828     0.0357354  -1.66528e-20
    0.0638798      -2.33296     0.0347537  -1.46426e-20
    0.0642428      -2.33512     0.0337309  -8.45064e-21
    0.0646058      -2.34218     0.0329512   6.57067e-21
    0.0649687      -2.34644     0.0319671   1.23985e-20
    0.0653317      -2.34537      0.030891   1.88278e-20
    0.0656946      -2.35471     0.0301586   7.85055e-21
    0.0660576      -2.35853     0.0291728  -7.40319e-21
    0.0664205      -2.35757     0.0281327  -1.80746e-20
    0.0667835      -2.36586     0.0273601  -4.56219e-21
    0.0671464      -2.36925     0.0263733   1.14005e-20
    0.0675094      -2.37008     0.0254228    4.6348e-20
    0.0678723      -2.37564     0.0245573   7.48896e-20
    0.0682353      -2.37858       0.02357   8.73261e-20
    0.0685982      -2.38062     0.0226928   5.99107e-20
    0.0689612      -2.38404     0.0217514   4.13589e-20
    0.0693242      -2.38656     0.0207641     2.052e-20
    0.0696871      -2.38902     0.0199302   -1.4195e-20
    0.0700501       -2.3911      0.018944  -1.92712e-20
     0.070413      -2.39318     0.0179579  -2.43474e-20
     0.070776      -2.39518     0.0171217  -1.07427e-20
    0.0711389      -2.39683     0.0161378  -4.05227e-21
    0.0715019      -2.39848     0.0151539   2.63816e-21
    0.0718648      -2.40002     0.0143154  -8.98679e-21
    0.0722278      -2.40125     0.0133349  -4.29089e-21
    0.0725907      -2.40247     0.0123544   4.05014e-22
    0.0729537      -2.40358     0.0115127   2.77113e-20
    0.0733166      -2.40439     0.0105375   3.04914e-20
    0.0736796       -2.4052    0.00956241   3.32716e-20
    0.0740426       -2.4059    0.00871788    3.3017e-20
    0.0744055      -2.40631    0.00775315   2.84251e-20
    0.0747685      -2.40672    0.00678842   2.38333e-20
    0.0751314      -2.40705    0.00594766   1.01781e-20
    0.0754944      -2.40708     0.0050029   5.75891e-21
    0.0758573       -2.4071    0.00405814   1.33969e-21
    0.0762203       -2.4071    0.00323694             0
    0.0765832      -2.40675    0.00232185             0
