#           y           U_x           U_y           U_z
   0.00625427       10.1563    -0.0124327   8.00973e-20
   0.00650955        10.155     -0.013024   3.95172e-20
   0.00676482       10.1536    -0.0136028  -4.31555e-21
    0.0070201       10.1523     -0.014171  -4.93997e-20
   0.00727538        10.151    -0.0147391  -9.44839e-20
   0.00753065       10.1497    -0.0153031  -9.33808e-20
   0.00778593       10.1484    -0.0158643  -6.09902e-20
   0.00804121       10.1472    -0.0164255  -2.85996e-20
   0.00829648       10.1459    -0.0169849  -1.89995e-21
   0.00855176       10.1448    -0.0175306  -1.86902e-20
   0.00880704       10.1437    -0.0180762  -3.54805e-20
   0.00906231       10.1426    -0.0186219  -5.22707e-20
   0.00931759       10.1415    -0.0191676  -6.90612e-20
   0.00957286       10.1407    -0.0196942  -5.88544e-20
   0.00982814       10.1398    -0.0202209  -4.83208e-20
    0.0100834       10.1389    -0.0207475  -3.77872e-20
    0.0103387        10.138    -0.0212741  -2.72535e-20
     0.010594       10.1372    -0.0217974  -1.68751e-20
    0.0108492       10.1365    -0.0223013  -1.08793e-20
    0.0111045       10.1359    -0.0228053  -4.88358e-21
    0.0113598       10.1352    -0.0233092   1.11217e-21
    0.0116151       10.1346    -0.0238131   7.10792e-21
    0.0118704       10.1339    -0.0243171   1.31037e-20
    0.0121256       10.1334    -0.0248118   1.48045e-20
    0.0123809        10.133     -0.025292   1.03985e-20
    0.0126362       10.1326    -0.0257722   5.99262e-21
    0.0128915       10.1323    -0.0262524   1.58668e-21
    0.0131467       10.1319    -0.0267326  -2.81925e-21
     0.013402       10.1315    -0.0272128  -7.22518e-21
    0.0136573       10.1311     -0.027693  -1.16311e-20
    0.0139126       10.1309    -0.0281546  -8.50174e-21
    0.0141678       10.1309    -0.0285982    1.9296e-21
    0.0144231       10.1308    -0.0290419   1.23609e-20
    0.0146784       10.1307    -0.0294855   2.27923e-20
    0.0149337       10.1306    -0.0299291   3.32236e-20
    0.0151889       10.1306    -0.0303728    4.3655e-20
    0.0154442       10.1305    -0.0308164   5.40863e-20
    0.0156995       10.1304    -0.0312601   6.45176e-20
    0.0159548       10.1304    -0.0317041   7.04528e-20
    0.0162101       10.1306    -0.0321495   6.32077e-20
    0.0164653       10.1308    -0.0325949   5.59627e-20
    0.0167206        10.131    -0.0330403   4.87176e-20
    0.0169759       10.1312    -0.0334857   4.14725e-20
    0.0172312       10.1314    -0.0339311   3.42274e-20
    0.0174864       10.1316    -0.0343725   2.62545e-20
    0.0177417       10.1319    -0.0347906    1.3575e-20
     0.017997       10.1323    -0.0352087   8.95556e-22
    0.0182523       10.1326    -0.0356268  -1.17839e-20
    0.0185075       10.1329    -0.0360449  -2.44634e-20
    0.0187628       10.1332    -0.0364631  -3.71429e-20
    0.0190181       10.1334    -0.0368467   -3.8957e-20
    0.0192734       10.1335    -0.0372226  -3.83402e-20
    0.0195286       10.1337    -0.0375984  -3.77234e-20
    0.0197839       10.1338    -0.0379742  -3.71066e-20
    0.0200392       10.1338    -0.0383369  -3.40978e-20
    0.0202945       10.1329    -0.0386327    -1.871e-20
    0.0205497        10.132    -0.0389285  -3.32219e-21
     0.020805       10.1311    -0.0392244   1.20656e-20
    0.0210603       10.1299    -0.0395008   2.49679e-20
    0.0213156       10.1259    -0.0396129   1.60896e-20
    0.0215709       10.1219     -0.039725   7.21117e-21
    0.0218261       10.1179    -0.0398371  -1.66722e-21
    0.0220814        10.109    -0.0397783  -1.00548e-20
    0.0223367       10.0961    -0.0395877  -1.77146e-20
     0.022592       10.0833    -0.0393971  -2.53744e-20
    0.0228472       10.0587    -0.0388088  -2.41487e-20
    0.0231025        10.021    -0.0377767  -1.32876e-20
    0.0233578       9.98322    -0.0367446  -2.42662e-21
    0.0236131       9.89737    -0.0347596             0
    0.0238683       9.79753    -0.0324989             0
    0.0241236       9.64704    -0.0289618             0
    0.0243789       9.42649    -0.0236565             0
    0.0246342       9.09978    -0.0183697             0
    0.0248894       8.58689    -0.0131305             0
    0.0251447       5.33876   -0.00693638             0
       0.0254             0             0             0
